text,language,origin
"**Bangladesh crippled by nationwide shutdowns**

Opposition protesters have brought major urban centers across Bangladesh to a standstill, following a deadly political rally the previous day that saw 18 people killed in explosions.",en,gemini
"Looking for consistency, Washington Redskins head coach Joe Gibbs anticipates minimal roster shake-ups during the upcoming months as he aims to build a lasting foundation of stability within the organization.",en,gemini
"**Does Putin’s Power Grab Actually Make Russia Secure?**

To the casual observer, Russia’s surface remains unchanged in the wake of the devastating terrorist onslaught that reached its tragic peak with the Beslan school massacre in September.",en,gemini
"Irish rock band U2, typically hesitant to participate in commercials, is teaming up with Apple for a new promotional campaign. The group's music will be featured in upcoming iTunes advertisements set to broadcast during Tuesday night's baseball games.",en,gemini
"**SABC apologizes for Iraq beheading footage**

South Africa's public broadcaster has issued a formal apology after an evening news bulletin inadvertently aired graphic video of an American hostage being beheaded in Iraq.",en,gemini
"**Cosmic Collision Yields Record-Breaking Blast**

Astronomers have uncovered a massive galaxy cluster collision so immensely powerful that its energy output ranks just behind the Big Bang itself.",en,gemini
"**West Demands Immediate Uranium Freeze from Iran**

Four Western nations paved the way for a major diplomatic showdown yesterday by issuing an ultimatum for Iran to halt its uranium enrichment program without delay.",en,gemini
Computer Associates International Inc. revealed a restructuring strategy Wednesday involving the global elimination of 800 positions. The business software provider expects the move to generate $70 million in yearly savings after the reorganization is fully completed.,en,gemini
"Fulfilling its pledge to offer more flexible software costs, Computer Associates has introduced Measured Workload Pricing for its mainframe management tools, bringing a new pricing model to its enterprise customers.",en,gemini
"Economic activity accelerated across the Great Plains and Rocky Mountain states through September and early October, according to a report released Wednesday by the Federal Reserve Bank of Kansas City covering the Tenth District.",en,gemini
"Veteran center Dikembe Mutombo is reportedly headed to the Houston Rockets via a sign-and-trade agreement. According to the Houston Chronicle, the 38-year-old will move from the Chicago Bulls in exchange for players Eric Piatkowski, Adrian Griffin, and Mike Wilks, where he is expected to serve in a backup and mentoring role.",en,gemini
"**RBC Centura Chief Exits** 
RALEIGH, N.C. — The chief executive of RBC Centura Bank has resigned, prompting a leadership shift that will move the bank's top command center to Raleigh from its longtime headquarters in Rocky Mount.",en,gemini
"**SCO Puts Plans for Pro-Company Website on Hold**

According to a report by InfoWorld, SCO Group has temporarily shelved its controversial plan to launch a pro-company website—a move that was initially announced last month as a direct counter to the legal watchdog site Groklaw.",en,gemini
"Paris commemorated the 60th anniversary of its liberation on Wednesday with solemn tributes, a traditional flag-raising ceremony at the Eiffel Tower, and a nostalgic procession of vintage 1940s tanks and military jeeps, while also reflecting on the city's complex history of wartime collaboration.",en,gemini
"NEW YORK (CBS.MW) — Sparked by Oracle's takeover of PeopleSoft and encouraging economic reports, U.S. equities finished Monday's session in positive territory, pushing the Dow Jones Industrial Average to a more than nine-month high.",en,gemini
"ATHENS — Shooter Matt Emmons did everything right to keep his nerves in check. Unfortunately, his ultimate undoing was aiming at the completely wrong target.",en,gemini
**Bledsoe Remains Bills' Starter Despite Calls For Losman (AP)** — Buffalo coach Mike Mularkey is making it clear to fans and critics demanding a change at quarterback: rookie J.P. Losman will not be replacing Drew Bledsoe anytime soon.,en,gemini
"**BRUSSELS** — Greece’s place in the eurozone remains secure despite a damning European Union review that uncovered five years of flawed and inaccurate budget data, a senior European Commission official stated on Monday.",en,gemini
"It’s December 2005, and your Viennese Christmas getaway is all booked. You’ve packed your trendiest winter wear, complete with embroidered red maple leaves on your jacket and backpack, meticulously disguised to hide your American roots from potential hostility abroad amid growing fears of identity theft.",en,gemini
"WASHINGTON (Reuters) — Federal authorities and industry leaders announced plans on Monday for a major U.S. crackdown on counterfeit and pirated goods, a booming illicit trade that drains hundreds of billions of dollars from American businesses every year.",en,gemini
Cisco is ramping up its focus on the small business market by rolling out a new line of switches. The tech giant aims to attract smaller enterprises with hardware designed to significantly lower both the cost and operational complexity of running a Cisco network infrastructure.,en,gemini
"**Icahn Threatens Board Shakeup to Block Mylan’s King Deal**

PITTSBURGH — Carl Icahn, Mylan Laboratories’ top shareholder, has stepped up his campaign against the generic drug maker's $4 billion acquisition of King Pharmaceuticals, warning he may launch a proxy fight to replace current company directors.",en,gemini
"**Quantum Buys LTO Competitor Certance**

After years of fiercely championing its own DLT tape technology over competing formats, storage giant Quantum has made a surprising pivot by acquiring Certance, a major manufacturer of the rival LTO standard.",en,gemini
"**Conrad Black Targets Hollinger Committee in C$1.1 Billion Lawsuit**

Disgraced media mogul Conrad Black is launching a C$1.1 billion ($870 million) legal action against the special committee of Hollinger International Inc. and several others. The lawsuit stems from a damning internal report that alleged Black and his associates siphoned millions of dollars from the publishing empire.",en,gemini
"**Milosevic trial halted**
Judges in The Hague have put the trial of Slobodan Milosevic on hold, granting his court-appointed defense attorneys extra time to get ready for the next phase of the case.",en,gemini
"**Athens hit by minor earthquake, zero damage reported**

ATHENS — A sudden earthquake shook the Greek capital on Tuesday, sending tremors through the city and its Olympic sports complexes. According to the Athens Geodynamic Institute, the seismic event occurred earlier today, though officials have not yet released specific data regarding the quake's exact magnitude or epicentre.",en,gemini
"**Bush Campaign Blocks Foreign Web Traffic After Cyberattack**

Following a cyberattack that knocked its homepage offline for six hours last week, the Bush-Cheney reelection campaign has restricted access to its website so that only visitors within the United States can view it, according to computer security professionals.",en,gemini
"**Nextel Partners Faces Changes in Sprint Merger**

The planned $35 billion combination of Sprint Corp. and Nextel Communications could result in significant shifts for Kirkland-based Nextel Partners Inc.",en,gemini
"Following their first back-to-back victories of the season, the Houston Texans appear eager to test their momentum against stiffer competition. ""I knew that was going to come up,"" Texans coach Dom Capers responded with a laugh when asked about the team's rising confidence.",en,gemini
"North Carolina players brushed off memories of last season's struggles ahead of their rematch with Kentucky. Rashad McCants insisted he wasn't dwelling on the past, Jawad Williams echoed that last year is history, and Sean May focused on his most recent performance rather than the Tar Heels' January loss at Rupp Arena.",en,gemini
"Mit einer Grundsatzrede im Londoner Thinktank Chatham House hat der britische Premierminister David Cameron die heiße Phase der Verhandlungen über den EU-Verbleib seines Landes eröffnet. Er stellte der Europäischen Union vier zentrale Bedingungen, die von Sonderrechten für die Euro-Zone bis hin zu Einschränkungen bei Sozialleistungen für EU-Zuwanderer reichen. Cameron betonte zwar, er wolle die Mitgliedschaft langfristig sichern, schloss einen EU-Austritt im Falle des Scheiterns aber nicht aus. Seine Reformvorschläge seien nicht nur für London vorteilhaft, sondern für die gesamte Staatengemeinschaft. In seiner rund 45-minütigen Ansprache unterstrich der Konservative die Rolle Europas für die Sicherheit und verwies angesichts aktueller Krisen – von der Ukraine bis zum internationalen Terrorismus – auf die Notwendigkeit enger Zusammenarbeit. Angesichts seiner Rolle als zweitgrößter Nettozahler erwarte London jedoch, dass auf britische Bedenken eingegangen werde.

Die Rede sowie ein offizielles Schreiben an EU-Ratspräsident Donald Tusk bilden nun die Basis für die Beratungen bis zum EU-Gipfel im Dezember. Sollte es spätestens im Januar zu einer Einigung kommen, gilt ein Referendum bereits im kommenden Juni in London als wahrscheinlich. Inhaltlich fordert die Regierung in London neben dem Schutz der Nicht-Euro-Staaten und dem Stopp von Sozialleistungen für EU-Migranten in den ersten vier Jahren auch vertragliche Garantien, dass Großbritannien nicht an einer „immer engeren Union“ teilnehmen muss.

Daheim im Vereinigten Königreich steht Cameron nun ein mindestens ebenso schwerer Kampf bevor wie in Brüssel. Aus den Reihen der eigenen Tories, des Oberhauses und von EU-skeptischen Parteien wie der Ukip schlug ihm scharfe Kritik entgegen. So werteten Hardliner seine Forderungen als unzureichend ab und warf ihm vor, es nicht ernst zu meinen. Unterstützung signalisierte Cameron hingegen bei der geplanten Begrenzung von Sozialleistungen sogar von der oppositionellen Labour-Partei, während Brexit-Befürworter bereits mit harten Bandagen gegen den Premier mobilmachen.

Auch aus Brüssel kam umgehend Gegenwind: Die EU-Kommission stufte insbesondere die geplante Einschränkung der Freizügigkeit für Arbeitnehmer als hochproblematisch ein. Bundeskanzlerin Angela Merkel zeigte sich dagegen zuversichtlich, dass sich für die unterschiedlichen Streitpunkte Kompromisse finden lassen werden.",de,gemini
