text,language,origin
"**Bangladesh hit by nationwide strikes** 
A wave of opposition-led protests has brought urban centers across Bangladesh to a standstill, following a deadly rally explosion the previous day that claimed 18 lives.",en,gemini
"Looking to build long-term consistency in the nation's capital, Washington head coach Joe Gibbs anticipates minimal roster shakeups this offseason as he focuses on establishing a steady culture for the franchise.",en,gemini
"**Does Putin’s Power Play Enhance Russian Security?** 

On the surface, Russia appears entirely unchanged following the devastating wave of terrorist attacks that reached its grim peak with the Beslan school massacre in September.",en,gemini
"Rock band U2 is stepping into the commercial spotlight. The famously reclusive Irish group has partnered with Apple for a series of new iTunes advertisements, which are slated to debut during Tuesday night's baseball broadcasts.",en,gemini
"**SABC Apologizes for Iraq Beheading Broadcast** 

South Africa's public broadcaster, the SABC, has issued an apology after a recent news bulletin inadvertently aired graphic footage of an American being beheaded in Iraq.",en,gemini
"**Cosmic Pile-Up Rivals the Big Bang**

Astronomers have uncovered a colossal galactic collision generating a shockwave so immense that its total energy output trails only the Big Bang itself.",en,gemini
"**West Issues Iran Enrichment Ultimatum**

Four Western nations paved the way for a potential confrontation yesterday by issuing an immediate demand for Tehran to halt all uranium enrichment.",en,gemini
**(AP)** — Business software provider Computer Associates International Inc. revealed a restructuring strategy Wednesday involving the global elimination of 800 positions. The company expects the move to generate $70 million in yearly savings once the initiative takes full effect.,en,gemini
"Fulfilling its pledge to offer more adaptable software licensing, Computer Associates has introduced Measured Workload Pricing for its suite of mainframe management tools.",en,gemini
"Economic growth picked up pace across the Great Plains and Rocky Mountain states through September and early October, according to a report released Wednesday by the Federal Reserve Bank of Kansas City covering the Tenth District.",en,gemini
"Veteran center Dikembe Mutombo reportedly stated he is headed to the Houston Rockets in a sign-and-trade agreement. According to the Houston Chronicle, the 38-year-old is set to join the Rockets from the Chicago Bulls in exchange for players Eric Piatkowski, Adrian Griffin, and Mike Wilks, where he is expected to serve in a backup and mentoring role.",en,gemini
"**RBC Centura Chief Exits; Leadership Moves to Raleigh** 
RALEIGH, N.C. — The top executive at RBC Centura Bank has resigned, prompting a leadership shift that will relocate the bank's central operations from Rocky Mount to Raleigh under his replacement.",en,gemini
"**SCO Puts Plans for Pro-SCO Website on Hold**

According to reports from InfoWord, SCO has temporarily shelved its previously announced plans to launch a pro-company website, a move that would have thrust the firm directly into Groklaw's territory.",en,gemini
"Parisians observed the 60th anniversary on Wednesday with somber tributes, a formal flag-raising ceremony at the Eiffel Tower, and a procession of vintage 1940s tanks and military jeeps, balancing the celebration of freedom with an acknowledgment of the city's wartime collaboration.",en,gemini
"**NEW YORK (CBS.MW) --** Boosted by solid economic reports and a wave of merger enthusiasm sparked by Oracle's takeover of PeopleSoft, Wall Street finished Monday's session in positive territory, pushing the Dow Jones Industrial Average to a fresh nine-month closing high.",en,gemini
"ATHENS -- Instead of trying to keep his nerves in check, American shooter Matt Emmons should have been paying closer attention to which target he was aiming at.",en,gemini
"**Bills Coach Mularkey Keeping Bledsoe as Starter (AP)**

AP - Buffalo head coach Mike Mularkey has a clear message for fans and analysts calling for rookie J.P. Losman to take over under center: not yet.",en,gemini
"**BRUSSELS** — Greece’s place in the single currency bloc remains secure despite a severe European Commission audit revealing years of flawed budget data dating back half a decade, a senior EU official confirmed Monday.",en,gemini
"It is December 2005, and your holiday trip to Vienna is fully planned. You have packed your trendiest winter wardrobe, complete with red maple leaf patches stitched onto your jacket and backpack, all to mask your U.S. citizenship from any unfriendly locals in Europe amid growing fears of identity theft.",en,gemini
"WASHINGTON (Reuters) — Federal authorities and industry leaders announced plans on Monday for a major U.S. crackdown on counterfeit and pirated goods, a booming illicit trade that drains hundreds of billions of dollars from American businesses every year.",en,gemini
"Cisco has rolled out a new line of switches tailored for small businesses, aggressively targeting the market with affordable, simplified hardware designed to lower the overall cost and operational complexity of running a Cisco network.",en,gemini
"**PITTSBURGH** — Billionaire investor Carl Icahn is escalating his campaign against Mylan Laboratories’ proposed $4 billion acquisition of King Pharmaceuticals, warning that he may launch a proxy fight to replace current board members if the generic drugmaker moves forward with the deal.",en,gemini
"**Quantum Acquires Rival Certance in LTO Tape Format Twist**

After spending years aggressively championing its proprietary DLT tape technology over competing standards, storage giant Quantum has made a surprising pivot by purchasing Certance, one of the primary manufacturers behind the rival LTO format.",en,gemini
"**Conrad Black to Sue Hollinger Panel for C$1.1 Billion**

Disgraced media mogul Conrad Black is launching a C$1.1 billion ($870 million) lawsuit against Hollinger International Inc.'s special committee and other defendants, targeting a damaging report that alleged he drained millions from the publishing company.",en,gemini
"**Milosevic Proceedings Halted**

Judges in The Hague have temporarily paused the trial of Slobodan Milosevic, giving his court-appointed defense attorneys extra time to organize their arguments.",en,gemini
"ATHENS - A sudden earthquake startled residents across the Greek capital on Tuesday, sending vibrations through several Olympic venues. According to the Athens Geodynamic Institute, the seismic event struck the city, though authorities noted that immediate details regarding the tremor's exact magnitude and epicenter remained unavailable. Officials confirmed there were no early reports of damage or injuries.",en,gemini
"**Bush Campaign Blocks Foreign Web Traffic After Cyberattack**

WASHINGTON (The Washington Post) — To thwart a wave of foreign cyber threats, the Bush-Cheney reelection campaign has temporarily restricted international visitors from accessing its official website, cybersecurity specialists revealed. The precautionary measure follows a sophisticated electronic assault last week that successfully knocked the campaign's primary domain offline for roughly six hours.",en,gemini
"**Nextel Partners May Feel Merger Effects**

The impending $35 billion combination of Sprint Corp. and Nextel Communications could potentially bring significant shifts for Nextel Partners Inc., based in Kirkland.",en,gemini
"**TEXANS STAT CENTER** Following back-to-back victories for the first time in a while, the Houston Texans are eager to prove themselves against tougher competition. ""I knew that was going to come up,"" Texans coach Dom Capers chuckled when addressing the milestone.",en,gemini
"North Carolina players brushed off memories of their previous struggles against Kentucky heading into a rematch. Rashad McCants insisted he wasn't dwelling on last season's meeting, teammate Jawad Williams echoed that the past is the past, and Sean May admitted his focus was solely on his most recent performance rather than the Tar Heels' Jan. 3 loss at Rupp Arena.",en,gemini
"According to a prominent Macintosh news website, portable media players capable of showcasing digital photo collections could become one of the most sought-after holiday gifts this coming Christmas season.",en,gemini
"Denying speculation about an imminent departure, Denver Broncos head coach Mike Shanahan assured reporters on Thursday night that he plans to fulfill the remaining four years of his current agreement.",en,gemini
"**Iran Claims U.S. Has No Viable Path Forward on Nuclear Issue**

TEHRAN (Reuters) — Washington has reached an impasse regarding Tehran's atomic ambitions, leaving it without sufficient evidence to push for United Nations sanctions and too entangled in Iraq to consider military action, Iranian President Mohammad Khatami stated on Saturday.",en,gemini
"**Low Hopes Surround Georgia Hoops (AP)** 
AP - The Georgia basketball team is bracing for what is projected to be a tough and challenging season.",en,gemini
"Retail investors are rushing back into the U.S. stock market now that presidential election uncertainty is behind them, and major trading firms predict this renewed momentum is here to stay, according to industry executives on Friday.",en,gemini
"**Oslo Held Lasting Hope for Arafat (AP)**

Far from the violent turmoil of the Middle East, Norway's capital was the unlikely setting where two seasoned adversaries finally chose dialogue over conflict, laying the groundwork for a historic peace process through clandestine diplomacy.",en,gemini
"**U.S. Iraq War Death Toll Reaches 1,229 (AP)** — The Associated Press reports that at least 1,229 U.S. service members have lost their lives since the Iraq conflict began in March 2003, based on a tally updated through Tuesday, Nov. 23, 2004. According to the Department of Defense, a minimum of 957 fatalities were the result of hostile action. The total number of casualties also accounts for three Department of Defense civilians.",en,gemini
"**IRAQ: Black Watch set sights on Christmas**

Troops declared ""mission accomplished"" after a battle group convoy comprising more than 200 vehicles successfully reached the relative security of the Shaibah Logistics Base.",en,gemini
"**Revlon’s Q3 Loss Widens on Falling Sales**

Cosmetics giant Revlon Inc. reported a larger third-quarter loss as sales slid 7 percent, a period that also saw the company wrap up a major refinancing initiative.",en,gemini
"Traditional passwords are quickly becoming outdated as physical security tokens gain traction. Consider the modern key ring: traditional house keys, car keys, and remote fobs now share space with a new blue gadget designed for securely accessing AOL. While optional, adopting this hardware key is a smart security upgrade for users looking to better protect their online accounts.",en,gemini
"**Sharon Faces Death Threats Amid Gaza Withdrawal Opposition**

Israeli police have launched an investigation into death threats directed at Prime Minister Ariel Sharon, as fierce political backlash continues to grow over his controversial plan to pull out of Gaza.",en,gemini
"**Red Hat Slams Sun Over Open-Source Record**

A high-ranking Red Hat official has publicly questioned the open-source commitment of frequent collaborator Sun Microsystems. In a Thursday blog post, Michael Tiemann, Red Hat's vice president of open-source affairs...",en,gemini
"Over a week after the Match of the Decade descended into the ""Battle of the Buffet"" and sparked a bitter war of words, a vulnerable Arsenal side must quickly put the Old Trafford fallout behind them.",en,gemini
"**Federer and Moya Overcome Rain Delays in Houston**

Following a night disrupted by persistent showers that pushed the finish past midnight, Roger Federer secured his second round-robin victory at the ATP Tennis Masters Cup early Thursday morning, defeating Lleyton Hewitt 6-3, 6-4 for his fifth straight win over the Australian.",en,gemini
"Digital auction companies are looking to capitalize on the recent insurance industry scandals to expand their market share. While consumers routinely scour the internet for bargain flights, vintage collectibles, and stock trades, corporate clients searching for group insurance policies have largely avoided online platforms until now.",en,gemini
"Cybercriminals are spreading a new computer virus across the internet disguised as a holiday e-greeting card, with variants appearing in multiple languages.",en,gemini
"**U.S. Forces Could Exit Iraq in Four Years, Rumsfeld Predicts**

The defense secretary noted, however, that any ultimate withdrawal timeline will depend on the advancement of the newly formed Iraqi administration.",en,gemini
"**Election Integrity Concerns Linger (AP)**

AP - Ahead of Monday's scheduled Electoral College vote to finalize President Bush's re-election, persistent questions remain regarding the reliability of the U.S. voting process. These doubts are especially pronounced in Ohio, where ongoing reports highlight widespread technological malfunctions, long queues, and significant confusion at polling places in low-income and minority communities.",en,gemini
"**US Envoy Upbeat Ahead of Nairobi Talks on Sudan**

Nairobi, Nov. 18 (NNN) : The United States special envoy has expressed optimism regarding upcoming UN Security Council discussions in Kenya, where international diplomats are gathering for a two-day summit centered on advancing the Sudanese peace process.",en,gemini
"**Bobby Valentine returns to Japan for Marines' autumn camp**

Chiba Lotte Marines manager Bobby Valentine has arrived back in Japan to oversee his squad's autumn training sessions. Valentine, whose name had recently surfaced as a potential successor to Art Howe as manager...",en,gemini
"Physical checks are finally losing their wings. For decades, millions of paper checks have been flown across the country each night to reach their banks of origin, but starting in October, new technology is set to bring that costly daily commute to a permanent end.",en,gemini
"Powered by a suffocating defense, No. 11 Pittsburgh cruised past Memphis 70-51 on Tuesday night in the Jimmy V Classic, with Carl Krauser scoring 15 of his 17 points from the foul line to pace the Panthers.",en,gemini
