text,language,origin,avg_sentence_length,std_sentence_length,punctuation_density,avg_word_length,type_token_ratio,function_word_ratio
"Bangladesh paralysed by strikes Opposition activists have brought many towns and cities in Bangladesh to a halt, the day after 18 people died in explosions at a political rally.",en,human,29.0,0.0,0.06896551724137931,5.137931034482759,0.896551724137931,0.2413793103448276
Desiring Stability Redskins coach Joe Gibbs expects few major personnel changes in the offseason and wants to instill a culture of stability in Washington.,en,human,24.0,0.0,0.041666666666666664,5.5,0.9583333333333334,0.2916666666666667
"Will Putin #39;s Power Play Make Russia Safer? Outwardly, Russia has not changed since the barrage of terrorist attacks that culminated in the school massacre in Beslan on Sept.",en,human,14.5,6.5,0.13793103448275862,5.137931034482759,0.896551724137931,0.20689655172413793
U2 pitches for Apple New iTunes ads airing during baseball games Tuesday will feature the advertising-shy Irish rockers.,en,human,18.0,0.0,0.05555555555555555,5.722222222222222,1.0,0.1111111111111111
S African TV in beheading blunder Public broadcaster SABC apologises after news bulletin shows footage of American beheaded in Iraq.,en,human,20.0,0.0,0.05,5.65,0.95,0.15
"A Cosmic Storm: When Galaxy Clusters Collide Astronomers have found what they are calling the perfect cosmic storm, a galaxy cluster pile-up so powerful its energy output is second only to the Big Bang.",en,human,34.0,0.0,0.08823529411764706,4.970588235294118,0.9705882352941176,0.20588235294117646
West sets deadline for Iran to freeze uranium enrichment Four western countries set the scene yesterday for a showdown with Iran by demanding that it freeze its uranium enrichment activities immediately.,en,human,31.0,0.0,0.03225806451612903,5.580645161290323,0.8387096774193549,0.1935483870967742
"Computer Assoc. Cuts 800 Jobs Worldwide (AP) AP - Computer Associates International Inc. announced a restructuring plan Wednesday that would reduce its work force by 800 people worldwide, saving the business software maker  #36;70 million annually once the plan is fully implemented.",en,human,14.0,11.224972160321824,0.11904761904761904,5.738095238095238,0.9047619047619048,0.09523809523809523
"CA Opens Utility Pricing for Mainframes Keeping its promise to migrate toward more flexible pricing for its software, Computer Associates (Quote, Chart) has unleashed Measured Workload Pricing for its mainframe management products.",en,human,32.0,0.0,0.09375,6.25,0.84375,0.125
"Economy builds steam in KC Fed district The economy continued to strengthen in September and early October in the Great Plains and Rocky Mountain regions covered by the Tenth Federal Reserve District, the Federal Reserve Bank of Kansas City said Wednesday.",en,human,41.0,0.0,0.04878048780487805,5.2682926829268295,0.8292682926829268,0.2682926829268293
